Player,Team(s),Position,World Cups,Total goals,Goals by World Cup,Awards,Notes
Harlan,Easuhura,,1720,1,1720: 1,,name from match data (surname only)
Helven,Raledria,,1752,1,1752: 1,,name from match data (surname only)
Hkulan,Ealdorii,,1736,1,1736: 1,,name from match data (surname only)
Holt,Lycroa,,1704,1,1704: 1,,name from match data (surname only)
Khrishi,Sanagara,,1764,1,1764: 1,,name from match data (surname only)
Kifu,Terressin,,1764,1,1764: 1,,name from match data (surname only)
Komito,Jshain,,1764,1,1764: 1,,name from match data (surname only)
Korven,Raledria,,1716,1,1716: 1,,name from match data (surname only)
Korvis,Siana,,1712,1,1712: 1,,name from match data (surname only)
Kweli,Terressin,,1732,1,1732: 1,,name from match data (surname only)
Lavanti,Emara,,1732,1,1732: 1,,name from match data (surname only)
Lerek,Pelines,,1748,1,1748: 1,,name from match data (surname only)
Maalen,United Delet,,1716,1,1716: 1,,name from match data (surname only)
Mahari,Sanagara,,1748,1,1748: 1,,name from match data (surname only)
Marhan,Taval,,1736,1,1736: 1,,name from match data (surname only)
Marini,Sattle,,1740,1,1740: 1,,name from match data (surname only)
Marn,Emara,,1708,1,1708: 1,,name from match data (surname only)
Maron,Easuhura,,1704,1,1704: 1,,name from match data (surname only)
Marrelo,Emara,,1740,1,1740: 1,,name from match data (surname only)
Marun,Etirha,,1708,1,1708: 1,,name from match data (surname only)
Marvik,New Misos,,1756,1,1756: 1,,name from match data (surname only)
Mavari,Easuhura,,1760,1,1760: 1,,name from match data (surname only)
Maven,Taval,,1724,1,1724: 1,,name from match data (surname only)
Mavidis,Chaenia,,1764,1,1764: 1,,name from match data (surname only)
Mendric,United Delet,,1748,1,1748: 1,,name from match data (surname only)
Mereth,Wundry,,1752,1,1752: 1,,name from match data (surname only)
Mosk,New Misos,,1760,1,1760: 1,,name from match data (surname only)
Mwenza,Dahe,,1732,1,1732: 1,,name from match data (surname only)
Norvan,Ohtina,,1756,1,1756: 1,,name from match data (surname only)
Olreth,Walporein,,1752,1,1752: 1,,name from match data (surname only)
Olreth,Verusa,,1756,1,1756: 1,,name from match data (surname only)
Olsk,Seytinemas,,1760,1,1760: 1,,name from match data (surname only)
Onlami,Acetoa,,1740,1,1740: 1,,name from match data (surname only)
Oradi,Haiza,,1760,1,1760: 1,,name from match data (surname only)
Oraska,Easuhura,,1724,1,1724: 1,,name from match data (surname only)
Othol,Terressin,,1756,1,1756: 1,,name from match data (surname only)
Pavnik,Isnti,,1764,1,1764: 1,,name from match data (surname only)
Pelan,Terressin,,1756,1,1756: 1,,name from match data (surname only)
Pelorni,Genaire,,1732,1,1732: 1,,name from match data (surname only)
Pharo,Dahe,,1720,1,1720: 1,,name from match data (surname only)
Pradesh,Haiza,,1748,1,1748: 1,,name from match data (surname only)
Rast,Raledria,,1720,1,1720: 1,,name from match data (surname only)
Reltari,Lycroa,,1732,1,1732: 1,,name from match data (surname only)
Renvad,Fermori,,1740,1,1740: 1,,name from match data (surname only)
Reol,Sanagara,,1732,1,1732: 1,,name from match data (surname only)
Roalt,Easuhura,,1756,1,1756: 1,,name from match data (surname only)
Salaman,Etirha,,1748,1,1748: 1,,name from match data (surname only)
Sarmik,Ztesh,,1756,1,1756: 1,,name from match data (surname only)
Shaiku,Emara,,1716,1,1716: 1,,name from match data (surname only)
Sokal,New Misos,,1724,1,1724: 1,,name from match data (surname only)
Sokhan,Easuhura,,1716,1,1716: 1,,name from match data (surname only)
Solven,Genaire,,1760,1,1760: 1,,name from match data (surname only)
Solwen,Oyreain,,1732,1,1732: 1,,name from match data (surname only)
Suendar,Easuhura,,1724,1,1724: 1,,name from match data (surname only)
Suon,Taval,,1756,1,1756: 1,,name from match data (surname only)
Talvi,Quidic,,1724,1,1724: 1,,name from match data (surname only)
Tarin,Siana,,1764,1,1764: 1,,name from match data (surname only)
Tarven,Erkizil,,1756,1,1756: 1,,name from match data (surname only)
Tashin,Dahe,,1724,1,1724: 1,,name from match data (surname only)
Tavela,Merela Sta,,1752,1,1752: 1,,name from match data (surname only)
Tervan,Seytinemas,,1760,1,1760: 1,,name from match data (surname only)
Tomek,Vesozata,,1756,1,1756: 1,,name from match data (surname only)
Tomis,Easuhura,,1760,1,1760: 1,,name from match data (surname only)
Tonelka,New Misos,,1740,1,1740: 1,,name from match data (surname only)
Tornas,New Misos,,1728,1,1728: 1,,name from match data (surname only)
Trentari,Raledria,,1732,1,1732: 1,,name from match data (surname only)
Trentari,Emara,,1732,1,1732: 1,,name from match data (surname only)
Trovak,Trian,,1748,1,1748: 1,,name from match data (surname only)
Vahnari,Seytinemas,,1740,1,1740: 1,,name from match data (surname only)
Velarn,Lycroa,,1712,1,1712: 1,,name from match data (surname only)
Velkari,Praesyu,,1732,1,1732: 1,,name from match data (surname only)
Velkari,United Delet,,1732,1,1732: 1,,name from match data (surname only)
Velsar,Praesyu,,1712,1,1712: 1,,name from match data (surname only)
Venn,Lycroa,,1720,1,1720: 1,,name from match data (surname only)
Verzini,Lycroa,,1732,1,1732: 1,,name from match data (surname only)
Vesmar,Verusa,,1716,1,1716: 1,,name from match data (surname only)
Virelle,Taval,,1756,1,1756: 1,,name from match data (surname only)
Voltani,Raledria,,1728,1,1728: 1,,name from match data (surname only)
Voltaska,New Misos,,1740,1,1740: 1,,name from match data (surname only)
Vornsai,Ukhdari,,1732,1,1732: 1,,name from match data (surname only)
Voskeld,United Delet,,1700,1,1700: 1,,name from match data (surname only)
Voskoda,Taval,,1760,1,1760: 1,,name from match data (surname only)
Vossen,Raledria,,1708,1,1708: 1,,name from match data (surname only)
Walu,Jshain,,1764,1,1764: 1,,name from match data (surname only)
Wenrik,Sivoso,,1752,1,1752: 1,,name from match data (surname only)
Yoval,Praesyu,,1720,1,1720: 1,,name from match data (surname only)
Aki Suenan,Dahe,MF,1704,0,,,
Aldan Estren,Estijan,FW,1704,0,,,
Aldan Praeren,Praesyu,FW,1704,0,,,
Aldan Renel,Raledria,FW,1704,0,,,
Aldan Tengaz,Emara,DF,1704,0,,,
Aldan Vellor,Easuhura,FW,1704,0,,,
Aldo Mariosi,Lycroa,FW,1704,0,,,
Aldo Vellani,Lycroa,GK,1704,0,,,
Anders Vellin,Verusa,GK,1704,0,,,
Anton Volkar,Alzuria,MF,1704,0,,,
Aren Disalt,Etirha,GK,1704,0,,,
Arne Brunal,Verusa,FW,1704,0,,,
Arne Crila,United Delet,MF,1704,0,,,
Arne Eldgar,Eldjo,FW,1704,0,,,
Aron Vasten,Raledria,DF,1704,0,,,
Bagu Reinsh,Siana,GK,1704,0,,,
Bagu Sinquya,Siana,DF,1704,0,,,
Bako Deschon,Areoix Lie,MF,1704,0,,,
Bjorn Eldvik,Eldjo,DF,1704,0,,,
Bjorn Umarci,United Delet,FW,1704,0,,,
Bjorn Verusil,Verusa,FW,1704,0,,,
Bohr Lashin,Emara,MF,1704,0,,,
Bram Estun,Estijan,MF,1704,0,,,
Bram Genar,Etirha,FW,1704,0,,,
Bram Praeic,Praesyu,MF,1704,0,,,
Bram Tirnal,Raledria,MF,1704,0,,,
Bran Curat,Etirha,DF,1704,0,,,
Bras Velli,Praesyu,DF,1704,0,,,
Bruno Calmar,Lycroa,DF,1704,0,,,
Chiga Tungkam,Siana,FW,1704,0,,,
Chiga Zothra,Siana,MF,1704,0,,,
Daichi Eteret,Dahe,DF,1704,0,,,
Daiki Ruylk,Dahe,MF,1704,0,,,
Dario Tovell,Lycroa,MF,1704,0,,,
Daro Easur,Easuhura,DF,1704,0,,,
Daro Praesi,Praesyu,DF,1704,0,,,
Daro Yokin,Easuhura,MF,1704,0,,,
Davi Aetin,Etirha,MF,1704,0,,,
Davi Easan,Easuhura,MF,1704,0,,,
Davi Estor,Estijan,MF,1704,0,,,
Davi Mikal,Raledria,MF,1704,0,,,
Davi Praeun,Praesyu,MF,1704,0,,,
Davir Khalan,Easuhura,,1716,0,,1716 Best goalkeeper (Bastion),
Davlen Aetir,Etirha,FW,1704,0,,,
Davlen Mikar,Raledria,FW,1704,0,,,
Davlen Praesar,Praesyu,FW,1704,0,,,
Davlen Tijor,Estijan,FW,1704,0,,,
Davor Sabrin,Emara,FW,1704,0,,,
Davu Byllu,Seytinemas,FW,1704,0,,,
Davu Desak,Quidic,FW,1704,0,,,
Didi Rijanb,Areoix Lie,FW,1704,0,,,
Dieter Volkel,Alzuria,DF,1704,0,,,
Donval Ireshi,Praesyu,,1752,0,,1752 Best goalkeeper (Bastion),
Emile Akwen,Areoix Lie,GK,1704,0,,,
Enzo Tirnel,Lycroa,DF,1704,0,,,
Erik Eldmar,Eldjo,MF,1704,0,,,
Erik Vendar,United Delet,GK,1704,0,,,
Erik Verul,Verusa,DF,1704,0,,,
Erland Eldsen,Eldjo,GK,1704,0,,,
Ernst Alzan,Alzuria,MF,1704,0,,,
Felix Reiner,Alzuria,FW,1704,0,,,
Frey Eldic,Eldjo,MF,1704,0,,,
Frey Halun,Verusa,MF,1704,0,,,
Frey Maalle,United Delet,MF,1704,0,,,
Fritz Reik,Alzuria,GK,1704,0,,,
Gio Huetan,Lycroa,MF,1704,0,,,
Gunn Astar,United Delet,DF,1704,0,,,
Gunn Eldkvist,Eldjo,GK,1704,0,,,
Gunn Veren,Verusa,GK,1704,0,,,
Halan Grazel,Etirha,FW,1704,0,,,
Halan Renar,Raledria,MF,1704,0,,,
Haldor Eldahl,Eldjo,DF,1704,0,,,
Hano Tijar,Estijan,DF,1704,0,,,
Hano Verste,Quidic,MF,1704,0,,,
Hans Alzar,Alzuria,DF,1704,0,,,
Hans Astye,United Delet,MF,1704,0,,,
Hanu Ashin,Quidic,DF,1704,0,,,
Hanu Taing,Seytinemas,DF,1704,0,,,
Haru Ihner,Dahe,DF,1704,0,,,
Haruo Pruim,Dahe,MF,1704,0,,,
Hau Selaj,Seytinemas,MF,1704,0,,,
Heinz Reial,Alzuria,DF,1704,0,,,
Hiren Quartelar,Lycroa,,1744,0,,1744 Best goalkeeper (Bastion),
Hugo Alzun,Alzuria,FW,1704,0,,,
Ilya Puzhin,Emara,FW,1704,0,,,
Iram Mavel,Easuhura,GK,1704,0,,,
Iram Praek,Praesyu,GK,1704,0,,,
Ivan Huak,Estijan,GK,1704,0,,,
Ivan Syliad,Etirha,GK,1704,0,,,
Ivan Tirzal,Raledria,GK,1704,0,,,
Jaro Estil,Estijan,DF,1704,0,,,
Jean Tanidun,Areoix Lie,GK,1704,0,,,
Joren Vahsk,Raledria,,1760,0,,1760 Best goalkeeper (Bastion),
Jorg Volken,Alzuria,FW,1704,0,,,
Juma Bagusil,Siana,MF,1704,0,,,
Juma Sariyah,Siana,DF,1704,0,,,
Kael Mesjan,Quidic,FW,1704,0,,,
Kaeu Inrea,Seytinemas,FW,1704,0,,,
Kaito Vesoz,Dahe,FW,1704,0,,,
Kaiu Trian,Seytinemas,DF,1704,0,,,
Karen Brimor,Praesyu,FW,1704,0,,,
Karen Estal,Estijan,FW,1704,0,,,
Karl Andsaud,United Delet,DF,1704,0,,,
Karl Eldren,Eldjo,FW,1704,0,,,
Karl Halren,Verusa,FW,1704,0,,,
Karlo Alzen,Alzuria,DF,1704,0,,,
Karo Tijan,Estijan,DF,1704,0,,,
Kasi Othya,Areoix Lie,DF,1704,0,,,
Kavan Torul,Raledria,DF,1704,0,,,
Kavi Mirovan,United Delet,,1708,0,,1708 Best player (Vairan Ball),
Ken Welenu,Dahe,DF,1704,0,,,
Kenji Cloja,Dahe,DF,1704,0,,,
Kiro Letan,Quidic,DF,1704,0,,,
Klaus Volkin,Alzuria,FW,1704,0,,,
Kofi Reeric,Areoix Lie,FW,1704,0,,,
Koren Brimun,Praesyu,DF,1704,0,,,
Koren Easil,Easuhura,DF,1704,0,,,
Koren Phuran,Etirha,DF,1704,0,,,
Koren Tijal,Estijan,DF,1704,0,,,
Koren Vasen,Raledria,DF,1704,0,,,
Kurt Alzel,Alzuria,MF,1704,0,,,
Lars Brunel,Verusa,DF,1704,0,,,
Lars Eldby,Eldjo,MF,1704,0,,,
Lars Iaino,United Delet,DF,1704,0,,,
Leif Brunor,Verusa,FW,1704,0,,,
Leif Eldval,Eldjo,FW,1704,0,,,
Leif Rethern,United Delet,FW,1704,0,,,
Lev Vahkhen,Emara,DF,1704,0,,,
Lino Brunel,Lycroa,FW,1704,0,,,
Loic Umend,Areoix Lie,MF,1704,0,,,
Lokan Tavalan,United Delet,,1708,0,,1708 Best goalkeeper (Bastion),
Loku Amcha,Seytinemas,MF,1704,0,,,
Loku Onphel,Quidic,MF,1704,0,,,
Loren Brimal,Praesyu,DF,1704,0,,,
Loren Huanic,Estijan,MF,1704,0,,,
Loren Mavir,Easuhura,DF,1704,0,,,
Loren Phuris,Etirha,MF,1704,0,,,
Loren Tirzen,Raledria,DF,1704,0,,,
Lorenzo Lucani,Lycroa,FW,1704,0,,,
Lucan Calvel,Lycroa,DF,1704,0,,,
Lucien Pelin,Areoix Lie,DF,1704,0,,,
Luk Chigao,Siana,FW,1704,0,,,
Luk Tungka,Siana,DF,1704,0,,,
Lukas Alzir,Alzuria,MF,1704,0,,,
Mads Deltar,United Delet,FW,1704,0,,,
Mads Eldnes,Eldjo,FW,1704,0,,,
Mads Halen,Verusa,FW,1704,0,,,
Mangi Phakal,Siana,MF,1704,0,,,
Mangi Reinsha,Siana,DF,1704,0,,,
