Player,Team(s),Position,World Cups,Total goals,Goals by World Cup,Awards,Notes
Ardrein,Erkizil,,1752,1,1752: 1,,name from match data (surname only)
Arun Phakra,Siana,MF,1704,1,1704: 1,,
Bako Deschon,Areoix Lie,MF,"1700, 1704, 1708, 1712",1,1712: 1,,career spans generated
Bhalla,Sanagara,,1764,1,1764: 1,,name from match data (surname only)
Bhandar,Dahe,,1724,1,1724: 1,,name from match data (surname only)
Brevik,Praesyu,,1716,1,1716: 1,,name from match data (surname only)
Brindes,United Delet,,1740,1,1740: 1,,name from match data (surname only)
Brunn,Verusa,,1728,1,1728: 1,,name from match data (surname only)
Brunscar,Praesyu,,1732,1,1732: 1,,name from match data (surname only)
Calder,New Misos,,1760,1,1760: 1,,name from match data (surname only)
Caldis,Emara,,1712,1,1712: 1,,name from match data (surname only)
Caltari,Lycroa,,1716,1,1716: 1,,name from match data (surname only)
Carosi,United Delet,,1740,1,1740: 1,,name from match data (surname only)
Casin,Areoix Lie,,1708,1,1708: 1,,name from match data (surname only)
Castin,Trian,,1760,1,1760: 1,,name from match data (surname only)
Damolo,Praesyu,,1708,1,1708: 1,,name from match data (surname only)
Daru,Sanagara,,1756,1,1756: 1,,name from match data (surname only)
Davi Estor,Estijan,MF,"1704, 1708",1,1708: 1,,career spans generated
Davi Mikal,Raledria,MF,"1700, 1704, 1708, 1712",1,1712: 1,,career spans generated
Daxen,Easuhura,,1756,1,1756: 1,,name from match data (surname only)
Demane,Terressin,,1764,1,1764: 1,,name from match data (surname only)
Denrik,New Misos,,1756,1,1756: 1,,name from match data (surname only)
Devolt,Genaire,,1740,1,1740: 1,,name from match data (surname only)
Dolva,Quidic,,1708,1,1708: 1,,name from match data (surname only)
Donat,Siana,,1764,1,1764: 1,,name from match data (surname only)
Doren,United Delet,,1716,1,1716: 1,,name from match data (surname only)
Dovran,Dual Cenryia,,1748,1,1748: 1,,name from match data (surname only)
Drasil,Praesyu,,1760,1,1760: 1,,name from match data (surname only)
Eskar,Taval,,1716,1,1716: 1,,name from match data (surname only)
Eskil,Ohtina,,1756,1,1756: 1,,name from match data (surname only)
Estov,Estijan,,1704,1,1704: 1,,name from match data (surname only)
Faelin,Raledria,,1756,1,1756: 1,,name from match data (surname only)
Ferrar,Genaire,,1728,1,1728: 1,,name from match data (surname only)
Halaki,Wundry,,1732,1,1732: 1,,name from match data (surname only)
Halar,Finae,,1764,1,1764: 1,,name from match data (surname only)
Haldo,Ohtina,,1760,1,1760: 1,,name from match data (surname only)
Hale,Emara,,1720,1,1720: 1,,name from match data (surname only)
Halen,Dahe,,1744,1,1744: 1,,name from match data (surname only)
Hales,Praesyu,,1700,1,1700: 1,,name from match data (surname only)
Halvad Renn,Raledria,FW,1704,1,1704: 1,,
Hano Verste,Quidic,MF,"1700, 1704, 1708",1,1700: 1,,career spans generated
Harlan,Easuhura,,1720,1,1720: 1,,name from match data (surname only)
Helven,Raledria,,1752,1,1752: 1,,name from match data (surname only)
Hkulan,Ealdorii,,1736,1,1736: 1,,name from match data (surname only)
Holt,Lycroa,,1704,1,1704: 1,,name from match data (surname only)
Iram Mavel,Easuhura,GK,"1700, 1704, 1708",1,1708: 1,,career spans generated
Joren Vahsk,Raledria,,"1760, 1764",1,1764: 1,1760 Best goalkeeper (Bastion),career spans generated
Kaito Vesoz,Dahe,FW,"1704, 1708, 1712, 1716",1,1716: 1,,career spans generated
Khrishi,Sanagara,,1764,1,1764: 1,,name from match data (surname only)
Kifu,Terressin,,1764,1,1764: 1,,name from match data (surname only)
Komito,Jshain,,1764,1,1764: 1,,name from match data (surname only)
Korven,Raledria,,1716,1,1716: 1,,name from match data (surname only)
Korvis,Siana,,1712,1,1712: 1,,name from match data (surname only)
Kweli,Terressin,,1732,1,1732: 1,,name from match data (surname only)
Lavanti,Emara,,1732,1,1732: 1,,name from match data (surname only)
Lerek,Pelines,,1748,1,1748: 1,,name from match data (surname only)
Loren Tirzen,Raledria,DF,"1700, 1704, 1708, 1712",1,1700: 1,,career spans generated
Lorenzo Lucani,Lycroa,FW,"1704, 1708, 1712",1,1712: 1,,career spans generated
Maalen,United Delet,,1716,1,1716: 1,,name from match data (surname only)
Mahari,Sanagara,,1748,1,1748: 1,,name from match data (surname only)
Marhan,Taval,,1736,1,1736: 1,,name from match data (surname only)
Marini,Sattle,,1740,1,1740: 1,,name from match data (surname only)
Marn,Emara,,1708,1,1708: 1,,name from match data (surname only)
Maron,Easuhura,,1704,1,1704: 1,,name from match data (surname only)
Marrelo,Emara,,1740,1,1740: 1,,name from match data (surname only)
Marun,Etirha,,1708,1,1708: 1,,name from match data (surname only)
Marvik,New Misos,,1756,1,1756: 1,,name from match data (surname only)
Mavari,Easuhura,,1760,1,1760: 1,,name from match data (surname only)
Maven,Taval,,1724,1,1724: 1,,name from match data (surname only)
Mavidis,Chaenia,,1764,1,1764: 1,,name from match data (surname only)
Mendric,United Delet,,1748,1,1748: 1,,name from match data (surname only)
Mereth,Wundry,,1752,1,1752: 1,,name from match data (surname only)
Mosk,New Misos,,1760,1,1760: 1,,name from match data (surname only)
Mwenza,Dahe,,1732,1,1732: 1,,name from match data (surname only)
Norvan,Ohtina,,1756,1,1756: 1,,name from match data (surname only)
Olreth,Walporein,,1752,1,1752: 1,,name from match data (surname only)
Olreth,Verusa,,1756,1,1756: 1,,name from match data (surname only)
Olsk,Seytinemas,,1760,1,1760: 1,,name from match data (surname only)
Olwen Lirkar,New Misos,,"1748, 1752",1,1752: 1,1748 Best goalkeeper (Bastion),career spans generated
Onlami,Acetoa,,1740,1,1740: 1,,name from match data (surname only)
Oradi,Haiza,,1760,1,1760: 1,,name from match data (surname only)
Oraska,Easuhura,,1724,1,1724: 1,,name from match data (surname only)
Othol,Terressin,,1756,1,1756: 1,,name from match data (surname only)
Pavnik,Isnti,,1764,1,1764: 1,,name from match data (surname only)
Pelan,Terressin,,1756,1,1756: 1,,name from match data (surname only)
Pelorni,Genaire,,1732,1,1732: 1,,name from match data (surname only)
Pharo,Dahe,,1720,1,1720: 1,,name from match data (surname only)
Pradesh,Haiza,,1748,1,1748: 1,,name from match data (surname only)
Rast,Raledria,,1720,1,1720: 1,,name from match data (surname only)
Reltari,Lycroa,,1732,1,1732: 1,,name from match data (surname only)
Renvad,Fermori,,1740,1,1740: 1,,name from match data (surname only)
Reol,Sanagara,,1732,1,1732: 1,,name from match data (surname only)
Roalt,Easuhura,,1756,1,1756: 1,,name from match data (surname only)
Salaman,Etirha,,1748,1,1748: 1,,name from match data (surname only)
Sarmik,Ztesh,,1756,1,1756: 1,,name from match data (surname only)
Sevan Yokar,Easuhura,MF,"1700, 1704",1,1700: 1,,career spans generated
Shaiku,Emara,,1716,1,1716: 1,,name from match data (surname only)
Sin Hapuag,Siana,DF,"1704, 1708",1,1708: 1,,career spans generated
Sin Jumatel,Siana,DF,"1700, 1704, 1708",1,1708: 1,,career spans generated
Sokal,New Misos,,1724,1,1724: 1,,name from match data (surname only)
Sokhan,Easuhura,,1716,1,1716: 1,,name from match data (surname only)
Solven,Genaire,,1760,1,1760: 1,,name from match data (surname only)
Solwen,Oyreain,,1732,1,1732: 1,,name from match data (surname only)
Sota Stineb,Dahe,FW,"1704, 1708, 1712, 1716",1,1708: 1,,career spans generated
Stig Eldun,Eldjo,FW,"1700, 1704, 1708",1,1708: 1,,career spans generated
Suendar,Easuhura,,1724,1,1724: 1,,name from match data (surname only)
Suon,Taval,,1756,1,1756: 1,,name from match data (surname only)
Talvi,Quidic,,1724,1,1724: 1,,name from match data (surname only)
Tarin,Siana,,1764,1,1764: 1,,name from match data (surname only)
Taru Ucrun,Dahe,MF,"1700, 1704, 1708, 1712",1,1712: 1,,career spans generated
Tarven,Erkizil,,1756,1,1756: 1,,name from match data (surname only)
Tashin,Dahe,,1724,1,1724: 1,,name from match data (surname only)
Tavela,Merela Sta,,1752,1,1752: 1,,name from match data (surname only)
Tervan,Seytinemas,,1760,1,1760: 1,,name from match data (surname only)
Tomek,Vesozata,,1756,1,1756: 1,,name from match data (surname only)
Tomis,Easuhura,,1760,1,1760: 1,,name from match data (surname only)
Tonelka,New Misos,,1740,1,1740: 1,,name from match data (surname only)
Tornas,New Misos,,1728,1,1728: 1,,name from match data (surname only)
Tovan Huan,Estijan,FW,"1704, 1708",1,1708: 1,,career spans generated
Trentari,Raledria,,1732,1,1732: 1,,name from match data (surname only)
Trentari,Emara,,1732,1,1732: 1,,name from match data (surname only)
Trovak,Trian,,1748,1,1748: 1,,name from match data (surname only)
Vahnari,Seytinemas,,1740,1,1740: 1,,name from match data (surname only)
Velarn,Lycroa,,1712,1,1712: 1,,name from match data (surname only)
Velkari,Praesyu,,1732,1,1732: 1,,name from match data (surname only)
Velkari,United Delet,,1732,1,1732: 1,,name from match data (surname only)
Velsar,Praesyu,,1712,1,1712: 1,,name from match data (surname only)
Venn,Lycroa,,1720,1,1720: 1,,name from match data (surname only)
Verzini,Lycroa,,1732,1,1732: 1,,name from match data (surname only)
Vesmar,Verusa,,1716,1,1716: 1,,name from match data (surname only)
Virelle,Taval,,1756,1,1756: 1,,name from match data (surname only)
Voltani,Raledria,,1728,1,1728: 1,,name from match data (surname only)
Voltaska,New Misos,,1740,1,1740: 1,,name from match data (surname only)
Vornsai,Ukhdari,,1732,1,1732: 1,,name from match data (surname only)
Voskeld,United Delet,,1700,1,1700: 1,,name from match data (surname only)
Voskoda,Taval,,1760,1,1760: 1,,name from match data (surname only)
Vossen,Raledria,,1708,1,1708: 1,,name from match data (surname only)
Walu,Jshain,,1764,1,1764: 1,,name from match data (surname only)
Wenrik,Sivoso,,1752,1,1752: 1,,name from match data (surname only)
Yoval,Praesyu,,1720,1,1720: 1,,name from match data (surname only)
Aki Suenan,Dahe,MF,1704,0,,,
Aldan Praeren,Praesyu,FW,1704,0,,,
Aldan Renel,Raledria,FW,"1704, 1708",0,,,career spans generated
Aldan Tengaz,Emara,DF,1704,0,,,
Aldan Vellor,Easuhura,FW,1704,0,,,
Aldo Mariosi,Lycroa,FW,1704,0,,,
Aldo Vellani,Lycroa,GK,1704,0,,,
Anders Vellin,Verusa,GK,"1704, 1708",0,,,career spans generated
Anton Volkar,Alzuria,MF,1704,0,,,
Aren Disalt,Etirha,GK,"1704, 1708",0,,,career spans generated
Arne Brunal,Verusa,FW,1704,0,,,
Arne Crila,United Delet,MF,1704,0,,,
Arne Eldgar,Eldjo,FW,"1700, 1704, 1708",0,,,career spans generated
Aron Vasten,Raledria,DF,1704,0,,,
Bagu Reinsh,Siana,GK,"1704, 1708",0,,,career spans generated
Bagu Sinquya,Siana,DF,"1704, 1708",0,,,career spans generated
Bjorn Eldvik,Eldjo,DF,"1704, 1708",0,,,career spans generated
Bjorn Umarci,United Delet,FW,1704,0,,,
Bjorn Verusil,Verusa,FW,"1700, 1704, 1708",0,,,career spans generated
Bohr Lashin,Emara,MF,1704,0,,,
Bram Estun,Estijan,MF,1704,0,,,
Bram Genar,Etirha,FW,"1700, 1704",0,,,career spans generated
Bram Praeic,Praesyu,MF,"1704, 1708",0,,,career spans generated
Bram Tirnal,Raledria,MF,"1704, 1708",0,,,career spans generated
Bran Curat,Etirha,DF,1704,0,,,
Bras Velli,Praesyu,DF,1704,0,,,
Bruno Calmar,Lycroa,DF,1704,0,,,
Chiga Tungkam,Siana,FW,"1700, 1704",0,,,career spans generated
Chiga Zothra,Siana,MF,1704,0,,,
Daichi Eteret,Dahe,DF,1704,0,,,
Daiki Ruylk,Dahe,MF,1704,0,,,
Dario Tovell,Lycroa,MF,1704,0,,,
Daro Easur,Easuhura,DF,1704,0,,,
Daro Praesi,Praesyu,DF,1704,0,,,
Daro Yokin,Easuhura,MF,"1700, 1704",0,,,career spans generated
Davi Aetin,Etirha,MF,1704,0,,,
Davi Easan,Easuhura,MF,"1704, 1708, 1712",0,,,career spans generated
Davi Praeun,Praesyu,MF,"1704, 1708",0,,,career spans generated
Davir Khalan,Easuhura,,1716,0,,1716 Best goalkeeper (Bastion),
Davlen Aetir,Etirha,FW,1704,0,,,
Davlen Mikar,Raledria,FW,"1704, 1708",0,,,career spans generated
Davlen Praesar,Praesyu,FW,1704,0,,,
Davlen Tijor,Estijan,FW,"1704, 1708, 1712",0,,,career spans generated
Davor Sabrin,Emara,FW,1704,0,,,
Davu Byllu,Seytinemas,FW,"1700, 1704, 1708",0,,,career spans generated
Davu Desak,Quidic,FW,1704,0,,,
Didi Rijanb,Areoix Lie,FW,1704,0,,,
Dieter Volkel,Alzuria,DF,"1704, 1708",0,,,career spans generated
Donval Ireshi,Praesyu,,"1752, 1756",0,,1752 Best goalkeeper (Bastion),career spans generated
Emile Akwen,Areoix Lie,GK,"1704, 1708, 1712",0,,,career spans generated
Enzo Tirnel,Lycroa,DF,"1700, 1704",0,,,career spans generated
Erik Eldmar,Eldjo,MF,"1700, 1704, 1708, 1712",0,,,career spans generated
Erik Vendar,United Delet,GK,1704,0,,,
Erik Verul,Verusa,DF,1704,0,,,
Erland Eldsen,Eldjo,GK,1704,0,,,
Ernst Alzan,Alzuria,MF,1704,0,,,
Felix Reiner,Alzuria,FW,"1704, 1708",0,,,career spans generated
Frey Eldic,Eldjo,MF,"1700, 1704, 1708",0,,,career spans generated
Frey Halun,Verusa,MF,"1704, 1708",0,,,career spans generated
