Player,Team,Anchor,Position,Career
Lio Bassi,Siana,1680,,1676:2; 1680:5; 1684:2
Olen Marhan,Sanagara,1732,,1732:2; 1736:1; 1740:1; 1744:3
Ranjit Kavari,Sanagara,1748,,1740:2; 1744:3; 1748:5
Renal Reka,United Delet,1752,,1752:4; 1756:2; 1760:1
Talin Kestor,Quidic,1756,,1748:1; 1752:2; 1756:5
Tomaz Reska,Eldjo,1676,,1668:1; 1672:2; 1676:5
Tovi Renkalmar,Easuhura,1744,,1740:2; 1744:5
Aurelio Mestri,Raledria,1728,,1724:2; 1728:4
Brask Norvali,Etretes,1732,,1728:2; 1732:4
Davlan Kresimar,Lycroa,1704,FW,1700:2; 1704:4
Davor Mirkeln,Etirha,1720,,1716:2; 1720:4
Emil Korvan,Praesyu,1760,,1756:2; 1760:4
Erron Petlik,New Misos,1744,,1744:4; 1748:2
Maharan Soldai,Taval,1736,,1732:2; 1736:4; 1740:2
Navid Ravan,Easuhura,1660,,1660:4; 1668:2
Ravik Tolmesh,Praesyu,1712,,1712:4; 1716:2; 1720:1
Reiner Valsk,Verusa,1728,,1724:2; 1728:4; 1732:2; 1736:1
Tiago Marenzi,Ohtina,1760,,1748:1; 1752:1; 1756:2; 1760:4
Velari Mantor,New Misos,1748,,1744:2; 1748:4
Vidoma Calreth,Emara,1732,,1732:4; 1736:2
Aakash Rashvel,Sanagara,1748,,1740:0; 1744:1; 1748:3; 1752:1
Aldermin Sarro,Easuhura,1712,,1704:1; 1708:2; 1712:3
Anders Halden,Alzurian Union,1684,,1676:0; 1680:2; 1684:3
Bertan Soreno,Lycroa,1744,,1736:1; 1740:2; 1744:3
Friedrik Lannvert,Verusa,1736,,1732:1; 1736:3; 1740:2
Galuran Erith,Easuhura,1736,,1732:1; 1736:3
Karen Vekiri,Erkizil,1752,,1748:1; 1752:2; 1756:1
Lukan Brod,Estijan,1680,,1676:1; 1680:3; 1684:1
Marishen Olstre,Seytinemas,1748,,1744:2; 1748:3
Milorad Tschev,Emara,1672,,1672:3; 1676:1
Mirek Tavold,Emara,1728,,1724:2; 1728:3; 1732:1
Niko Salm,Palina,1680,,1676:2; 1680:3; 1684:2
Sava Tarkhel,Etirha,1720,,1712:0; 1716:1; 1720:3
Senn Drevali,Praesyu,1712,,1708:1; 1712:3
Tomir Daleski,Lycroa,1728,,1728:3; 1732:1; 1736:0
Daron Kresch,Emara,1704,MF,1704:2; 1708:1
Halmir Yaxri,Easuhura,1744,,1744:2; 1748:1
Aldan Estren,Estijan,1704,FW,1700:0; 1704:0; 1708:1; 1712:0
Aldan Renel,Raledria,1704,FW,1704:0; 1708:0
Anders Vellin,Verusa,1704,GK,1704:0; 1708:0
Aren Disalt,Etirha,1704,GK,1704:0; 1708:0
Arne Eldgar,Eldjo,1704,FW,1700:0; 1704:0; 1708:0
Bagu Reinsh,Siana,1704,GK,1704:0; 1708:0
Bagu Sinquya,Siana,1704,DF,1704:0; 1708:0
Bako Deschon,Areoix Lie,1704,MF,1700:0; 1704:0; 1708:0; 1712:1
Bjorn Eldvik,Eldjo,1704,DF,1704:0; 1708:0
Bjorn Verusil,Verusa,1704,FW,1700:0; 1704:0; 1708:0
Bram Genar,Etirha,1704,FW,1700:0; 1704:0
Bram Praeic,Praesyu,1704,MF,1704:0; 1708:0
Bram Tirnal,Raledria,1704,MF,1704:0; 1708:0
Chiga Tungkam,Siana,1704,FW,1700:0; 1704:0
Daro Yokin,Easuhura,1704,MF,1700:0; 1704:0
Davi Easan,Easuhura,1704,MF,1704:0; 1708:0; 1712:0
Davi Estor,Estijan,1704,MF,1704:0; 1708:1
Davi Mikal,Raledria,1704,MF,1700:0; 1704:0; 1708:0
Davi Praeun,Praesyu,1704,MF,1704:0; 1708:0
Davlen Mikar,Raledria,1704,FW,1704:0; 1708:0
Davlen Tijor,Estijan,1704,FW,1704:0; 1708:0; 1712:0
Davu Byllu,Seytinemas,1704,FW,1700:0; 1704:0; 1708:0
Dieter Volkel,Alzuria,1704,DF,1704:0; 1708:0
Donval Ireshi,Praesyu,1752,,1752:0; 1756:0
Emile Akwen,Areoix Lie,1704,GK,1704:0; 1708:0; 1712:0
Enzo Tirnel,Lycroa,1704,DF,1700:0; 1704:0
Erik Eldmar,Eldjo,1704,MF,1700:0; 1704:0; 1708:0; 1712:0
Felix Reiner,Alzuria,1704,FW,1704:0; 1708:0
Frey Eldic,Eldjo,1704,MF,1700:0; 1704:0; 1708:0
Frey Halun,Verusa,1704,MF,1704:0; 1708:0
Frey Maalle,United Delet,1704,MF,1704:0; 1708:0; 1712:0
Gunn Eldkvist,Eldjo,1704,GK,1704:0; 1708:0
Gunn Veren,Verusa,1704,GK,1704:0; 1708:0
Halan Renar,Raledria,1704,MF,1704:0; 1708:0
Haldor Eldahl,Eldjo,1704,DF,1700:0; 1704:0
Hano Tijar,Estijan,1704,DF,1700:0; 1704:0
Hano Verste,Quidic,1704,MF,1700:1; 1704:0
Hans Astye,United Delet,1704,MF,1700:0; 1704:0
Hanu Ashin,Quidic,1704,DF,1704:0; 1708:0
Hanu Taing,Seytinemas,1704,DF,1700:0; 1704:0
Haru Ihner,Dahe,1704,DF,1700:0; 1704:0; 1708:0
Haruo Pruim,Dahe,1704,MF,1700:0; 1704:0; 1708:0
Hugo Alzun,Alzuria,1704,FW,1700:0; 1704:0
Iram Mavel,Easuhura,1704,GK,1700:0; 1704:0
Jaro Estil,Estijan,1704,DF,1700:0; 1704:0
Joren Vahsk,Raledria,1760,,1760:0; 1764:1
Jorg Volken,Alzuria,1704,FW,1700:0; 1704:0; 1708:0
Juma Bagusil,Siana,1704,MF,1700:0; 1704:0
Kaito Vesoz,Dahe,1704,FW,1704:0; 1708:0; 1712:0; 1716:1
Kaiu Trian,Seytinemas,1704,DF,1700:0; 1704:0
Karl Andsaud,United Delet,1704,DF,1704:0; 1708:0; 1712:0
Karl Halren,Verusa,1704,FW,1704:0; 1708:0
Karlo Alzen,Alzuria,1704,DF,1704:0; 1708:0
Karo Tijan,Estijan,1704,DF,1704:0; 1708:0
Kavan Torul,Raledria,1704,DF,1704:0; 1708:0; 1712:0
Kiro Letan,Quidic,1704,DF,1700:0; 1704:0; 1708:0
Kofi Reeric,Areoix Lie,1704,FW,1700:0; 1704:0; 1708:0
Koren Brimun,Praesyu,1704,DF,1700:0; 1704:0
Koren Phuran,Etirha,1704,DF,1704:0; 1708:0
Koren Tijal,Estijan,1704,DF,1704:0; 1708:0
Lars Brunel,Verusa,1704,DF,1704:0; 1708:0
Lars Eldby,Eldjo,1704,MF,1704:0; 1708:0
Lars Iaino,United Delet,1704,DF,1704:0; 1708:0; 1712:0
Leif Brunor,Verusa,1704,FW,1704:0; 1708:0
Leif Eldval,Eldjo,1704,FW,1700:0; 1704:0
Lino Brunel,Lycroa,1704,FW,1704:0; 1708:0
Loic Umend,Areoix Lie,1704,MF,1700:0; 1704:0
Loku Amcha,Seytinemas,1704,MF,1700:0; 1704:0
Loren Phuris,Etirha,1704,MF,1700:0; 1704:0
Loren Tirzen,Raledria,1704,DF,1700:1; 1704:0; 1708:0
Lorenzo Lucani,Lycroa,1704,FW,1704:0; 1708:0; 1712:1
Lucan Calvel,Lycroa,1704,DF,1704:0; 1708:0
Luk Chigao,Siana,1704,FW,1704:0; 1708:0
Luk Tungka,Siana,1704,DF,1700:0; 1704:0
Mads Halen,Verusa,1704,FW,1700:0; 1704:0; 1708:0
Mangi Phakal,Siana,1704,MF,1704:0; 1708:0
Marc Yoprio,Areoix Lie,1704,FW,1704:0; 1708:0
Marcel Iquir,Areoix Lie,1704,DF,1704:0; 1708:0
Mario Brunelli,Lycroa,1704,DF,1704:0; 1708:0
Maxim Alzor,Alzuria,1704,FW,1700:0; 1704:0; 1708:0
Milos Chishan,Emara,1704,DF,1704:0; 1708:0
Mira Inan,Seytinemas,1704,DF,1704:0; 1708:0
Mira Zhansh,Quidic,1704,DF,1704:0; 1708:0
Mirsa Praen,Praesyu,1704,DF,1704:0; 1708:0
Niko Laselt,Etirha,1704,DF,1704:0; 1708:0
Niko Tscheren,Emara,1704,MF,1704:0; 1708:0
Nils Halvar,Verusa,1704,MF,1704:0; 1708:0
Niram Vellar,Easuhura,1704,MF,1700:0; 1704:0
Niran Yoki,Easuhura,1704,GK,1704:0; 1708:0; 1712:0
Niran Yokima,Easuhura,1764,,1760:0; 1764:0
Odin Brunic,Verusa,1704,MF,1700:0; 1704:0; 1708:0
Olwen Lirkar,New Misos,1748,,1748:0; 1752:1
Oren Brimun,Praesyu,1704,DF,1704:0; 1708:0
Oren Hual,Estijan,1704,DF,1704:0; 1708:0; 1712:0; 1716:0
Ostan Peka,Etirha,1704,FW,1704:0; 1708:0; 1712:0
Otvan Reinal,Alzuria,1704,GK,1700:0; 1704:0
Petr Kovsul,Emara,1704,MF,1700:0; 1704:0
Ravko Borzhin,Emara,1704,DF,1700:0; 1704:0; 1708:0
Reku Shomjin,Quidic,1704,DF,1700:0; 1704:0
Reku Vayvel,Seytinemas,1704,FW,1700:0; 1704:0
Remy Feior,Areoix Lie,1704,FW,1704:0; 1708:0; 1712:0
Renar Brimen,Praesyu,1704,FW,1700:0; 1704:0; 1708:0
Renar Yokal,Easuhura,1704,FW,1704:0; 1708:0
Reno Estan,Estijan,1704,DF,1704:0; 1708:0
Reno Lukman,Siana,1704,MF,1704:0; 1708:0; 1712:0
Reno Wadik,Siana,1704,GK,1704:0; 1708:0; 1712:0
Renu Mavari,Easuhura,1704,DF,1704:0; 1708:0
Renu Ozin,Seytinemas,1704,MF,1704:0; 1708:0; 1712:0
Renu Volver,Quidic,1704,MF,1704:0; 1708:0
Renzo Huifar,Lycroa,1704,MF,1704:0; 1708:0
Renzo Metnd,Etirha,1704,MF,1700:0; 1704:0
Renzo Migan,Dahe,1704,DF,1700:0; 1704:0
Reua Sivos,Seytinemas,1704,DF,1700:0; 1704:0
Riku Oscair,Dahe,1704,FW,1704:0; 1708:0; 1712:0
Ryo Sanag,Dahe,1704,FW,1704:0; 1708:0
Sahir Mavan,Easuhura,1704,FW,1704:0; 1708:0
Sanu Hyelen,Quidic,1704,DF,1700:0; 1704:0
Saro Nheyes,Quidic,1704,MF,1704:0; 1708:0
Saro Ocaun,Seytinemas,1704,MF,1700:0; 1704:0
Sevan Toral,Raledria,1704,MF,1704:0; 1708:0
Sevan Yokar,Easuhura,1704,MF,1700:1; 1704:0
Sevren Olbrak,New Misos,1756,,1752:0; 1756:0; 1760:0
Sin Hapuag,Siana,1704,DF,1704:0; 1708:1
Sin Jumatel,Siana,1704,DF,1700:0; 1704:0; 1708:1
Sota Stineb,Dahe,1704,FW,1704:0; 1708:1; 1712:0; 1716:0
Stan Volzeh,Emara,1704,DF,1704:0; 1708:0
Sten Raledar,Raledria,1704,DF,1704:0; 1708:0
Stig Eldun,Eldjo,1704,FW,1700:0; 1704:0; 1708:1
Sune Baluyd,Quidic,1704,FW,1704:0; 1708:0; 1712:0
Sven Walpor,United Delet,1704,DF,1700:0; 1704:0; 1708:0
Taro Eparin,Dahe,1704,GK,1700:0; 1704:0
Taru Ucrun,Dahe,1704,MF,1700:0; 1704:0
Tavi Iarev,Quidic,1704,MF,1700:0; 1704:0
Tavu Lunava,Seytinemas,1704,GK,1700:0; 1704:0; 1708:0
Tenu Finae,Quidic,1704,FW,1704:0; 1708:0; 1712:0
Tenu Lieri,Seytinemas,1704,FW,1700:0; 1704:0; 1708:0
Tiery Jathu,Areoix Lie,1704,DF,1704:0; 1708:0; 1712:0
Tobias Reinl,Alzuria,1704,MF,1704:0; 1708:0
Toby Vaster,Raledria,1704,MF,1700:0; 1704:0
Toman Reyas,Praesyu,1720,,1712:0; 1716:0; 1720:0
Tomik Guisar,Etirha,1704,FW,1700:0; 1704:0
Tomik Zerikul,Emara,1704,DF,1704:0; 1708:0; 1712:0
Tor Verun,Verusa,1704,MF,1704:0; 1708:0
Tor Yutnit,United Delet,1704,MF,1704:0; 1708:0
Tovan Brunar,Verusa,1704,DF,1704:0; 1708:0; 1712:0
Tovan Eldlund,Eldjo,1704,DF,1704:0; 1708:0
Tovan Huan,Estijan,1704,FW,1704:0; 1708:1
Tovan Praeal,Praesyu,1704,FW,1700:0; 1704:0
Tovan Vellim,Easuhura,1704,DF,1700:0; 1704:0
Tovar Fincen,Etirha,1704,DF,1704:0; 1708:0
Ulf Elden,Eldjo,1704,MF,1704:0; 1708:0
Ulf Halor,Verusa,1704,MF,1700:0; 1704:0
Ulf Niar,United Delet,1704,GK,1700:0; 1704:0
Vael Rushen,Emara,1704,MF,1700:0; 1704:0
Vaiu Taoin,Seytinemas,1704,MF,1704:0; 1708:0
Veniel Stanev,Emara,1704,GK,1704:0; 1708:0; 1712:0
Vico Calven,Lycroa,1704,MF,1704:0; 1708:0
Vidar Brunel,Verusa,1704,DF,1700:0; 1704:0; 1708:0
Vidar Eldalm,Eldjo,1704,DF,1704:0; 1708:0
Yuki Haizan,Dahe,1704,FW,1704:0; 1708:0; 1712:0
